cpa,yr_id,name,population,,,
Fallbrook,2020,75 to 79,1755,,,
Fallbrook,2020,80 to 84,1185,,,
Fallbrook,2020,85 and Older,1204,,,
Flower Hill,2020,Under 5,0,,,
Flower Hill,2020,5 to 9,1,,,
Flower Hill,2020,10 to 14,0,,,
Flower Hill,2020,15 to 17,0,,,
Flower Hill,2020,18 and 19,0,,,
Flower Hill,2020,20 to 24,0,,,
Flower Hill,2020,25 to 29,0,,,
Flower Hill,2020,30 to 34,0,,,
Flower Hill,2020,35 to 39,0,,,
Flower Hill,2020,40 to 44,0,,,
Flower Hill,2020,45 to 49,0,,,
Flower Hill,2020,50 to 54,0,,,
Flower Hill,2020,55 to 59,0,,,
Flower Hill,2020,60 and 61,0,,,
Flower Hill,2020,62 to 64,0,,,
Flower Hill,2020,65 to 69,0,,,
Flower Hill,2020,70 to 74,0,,,
Flower Hill,2020,75 to 79,0,,,
Flower Hill,2020,80 to 84,0,,,
Flower Hill,2020,85 and Older,0,,,
Greater Golden Hill,2020,Under 5,634,,,
Greater Golden Hill,2020,5 to 9,547,,,
Greater Golden Hill,2020,10 to 14,485,,,
Greater Golden Hill,2020,15 to 17,310,,,
Greater Golden Hill,2020,18 and 19,167,,,
Greater Golden Hill,2020,20 to 24,843,,,
Greater Golden Hill,2020,25 to 29,1952,,,
Greater Golden Hill,2020,30 to 34,2233,,,
Greater Golden Hill,2020,35 to 39,1672,,,
Greater Golden Hill,2020,40 to 44,1201,,,
Greater Golden Hill,2020,45 to 49,858,,,
Greater Golden Hill,2020,50 to 54,831,,,
Greater Golden Hill,2020,55 to 59,744,,,
Greater Golden Hill,2020,60 and 61,279,,,
Greater Golden Hill,2020,62 to 64,388,,,
Greater Golden Hill,2020,65 to 69,493,,,
Greater Golden Hill,2020,70 to 74,346,,,
Greater Golden Hill,2020,75 to 79,176,,,
Greater Golden Hill,2020,80 to 84,103,,,
Greater Golden Hill,2020,85 and Older,97,,,
Greater North Park,2020,Under 5,1938,,,
Greater North Park,2020,5 to 9,1321,,,
Greater North Park,2020,10 to 14,1235,,,
Greater North Park,2020,15 to 17,770,,,
Greater North Park,2020,18 and 19,360,,,
Greater North Park,2020,20 to 24,2457,,,
Greater North Park,2020,25 to 29,6975,,,
Greater North Park,2020,30 to 34,7324,,,
Greater North Park,2020,35 to 39,5313,,,
Greater North Park,2020,40 to 44,3682,,,
Greater North Park,2020,45 to 49,2697,,,
Greater North Park,2020,50 to 54,2573,,,
Greater North Park,2020,55 to 59,2525,,,
Greater North Park,2020,60 and 61,910,,,
Greater North Park,2020,62 to 64,1225,,,
Greater North Park,2020,65 to 69,1965,,,
Greater North Park,2020,70 to 74,1492,,,
Greater North Park,2020,75 to 79,917,,,
Greater North Park,2020,80 to 84,476,,,
Greater North Park,2020,85 and Older,394,,,
Harbor,2020,Under 5,1,,,
Harbor,2020,5 to 9,0,,,
Harbor,2020,10 to 14,0,,,
Harbor,2020,15 to 17,2,,,
Harbor,2020,18 and 19,303,,,
Harbor,2020,20 to 24,1158,,,
Harbor,2020,25 to 29,387,,,
Harbor,2020,30 to 34,194,,,
Harbor,2020,35 to 39,100,,,
Harbor,2020,40 to 44,48,,,
Harbor,2020,45 to 49,11,,,
Harbor,2020,50 to 54,1,,,
Harbor,2020,55 to 59,0,,,
Harbor,2020,60 and 61,0,,,
Harbor,2020,62 to 64,2,,,
Harbor,2020,65 to 69,2,,,
Harbor,2020,70 to 74,0,,,
Harbor,2020,75 to 79,1,,,
Harbor,2020,80 to 84,1,,,
Harbor,2020,85 and Older,0,,,
Jamul-Dulzura,2020,Under 5,464,,,
Jamul-Dulzura,2020,5 to 9,529,,,
Jamul-Dulzura,2020,10 to 14,657,,,
Jamul-Dulzura,2020,15 to 17,369,,,
Jamul-Dulzura,2020,18 and 19,270,,,
Jamul-Dulzura,2020,20 to 24,536,,,
Jamul-Dulzura,2020,25 to 29,537,,,
Jamul-Dulzura,2020,30 to 34,452,,,
Jamul-Dulzura,2020,35 to 39,515,,,
Jamul-Dulzura,2020,40 to 44,532,,,
Jamul-Dulzura,2020,45 to 49,539,,,
Jamul-Dulzura,2020,50 to 54,732,,,
Jamul-Dulzura,2020,55 to 59,892,,,
Jamul-Dulzura,2020,60 and 61,363,,,
Jamul-Dulzura,2020,62 to 64,522,,,
Jamul-Dulzura,2020,65 to 69,811,,,
Jamul-Dulzura,2020,70 to 74,654,,,
Jamul-Dulzura,2020,75 to 79,363,,,
Jamul-Dulzura,2020,80 to 84,237,,,
Jamul-Dulzura,2020,85 and Older,187,,,
Julian,2020,Under 5,122,,,
Julian,2020,5 to 9,118,,,
Julian,2020,10 to 14,181,,,
Julian,2020,15 to 17,82,,,
Julian,2020,18 and 19,54,,,
Julian,2020,20 to 24,132,,,
Julian,2020,25 to 29,120,,,
Julian,2020,30 to 34,148,,,
Julian,2020,35 to 39,178,,,
Julian,2020,40 to 44,164,,,
Julian,2020,45 to 49,142,,,
Julian,2020,50 to 54,203,,,
Julian,2020,55 to 59,230,,,
Julian,2020,60 and 61,117,,,
Julian,2020,62 to 64,212,,,
Julian,2020,65 to 69,333,,,
Julian,2020,70 to 74,270,,,
Julian,2020,75 to 79,174,,,
Julian,2020,80 to 84,99,,,
Julian,2020,85 and Older,59,,,
Kearny Mesa,2020,Under 5,550,,,
Kearny Mesa,2020,5 to 9,390,,,
Kearny Mesa,2020,10 to 14,321,,,
Kearny Mesa,2020,15 to 17,127,,,
Kearny Mesa,2020,18 and 19,117,,,
Kearny Mesa,2020,20 to 24,742,,,
Kearny Mesa,2020,25 to 29,1496,,,
Kearny Mesa,2020,30 to 34,1494,,,
Kearny Mesa,2020,35 to 39,960,,,
Kearny Mesa,2020,40 to 44,684,,,
Kearny Mesa,2020,45 to 49,548,,,
Kearny Mesa,2020,50 to 54,511,,,
Kearny Mesa,2020,55 to 59,441,,,
Kearny Mesa,2020,60 and 61,153,,,
Kearny Mesa,2020,62 to 64,212,,,
Kearny Mesa,2020,65 to 69,285,,,
Kearny Mesa,2020,70 to 74,170,,,
Kearny Mesa,2020,75 to 79,122,,,
Kearny Mesa,2020,80 to 84,83,,,
Kearny Mesa,2020,85 and Older,82,,,
La Jolla,2020,Under 5,952,,,
La Jolla,2020,5 to 9,1321,,,
La Jolla,2020,10 to 14,1706,,,
La Jolla,2020,15 to 17,1206,,,
La Jolla,2020,18 and 19,509,,,
La Jolla,2020,20 to 24,1382,,,
La Jolla,2020,25 to 29,1386,,,
La Jolla,2020,30 to 34,1286,,,
La Jolla,2020,35 to 39,1375,,,
La Jolla,2020,40 to 44,1530,,,
La Jolla,2020,45 to 49,1865,,,
La Jolla,2020,50 to 54,2068,,,
